entry_timestamp,exit_timestamp,entry_price,exit_price,position_size,direction,bars_held,gross_pnl,net_pnl,trade_return,outcome,lookback,profit_target,stop_loss,timeout_days,wf_train_start,wf_train_end,wf_test_start,wf_test_end
2024-05-21,2024-06-04,453.03,454.36,100,Long,10,133.0,131.0,0.002892,Timed out,20,0.08,0.04,10,2023-04-19,2024-04-18,2024-04-19,2024-07-19
2024-06-06,2024-06-20,464.23,481.46,100,Long,10,1723.0,1721.0,0.037072,Timed out,20,0.08,0.04,10,2023-04-19,2024-04-18,2024-04-19,2024-07-19
2024-07-03,2024-07-17,486.23,481.76,100,Long,10,-447.0,-449.0,-0.009234,Timed out,20,0.08,0.04,10,2023-04-19,2024-04-18,2024-04-19,2024-07-19
2024-09-20,2024-10-10,482.52,492.58,100,Long,15,1006.0,1004.0,0.020807,Timed out,30,0.05,0.05,15,2023-07-20,2024-07-19,2024-07-22,2024-10-17
2024-12-03,2024-12-23,513.96,522.86,100,Long,15,890.0,888.0,0.017278,Timed out,30,0.05,0.05,15,2023-10-18,2024-10-17,2024-10-18,2025-01-21
2025-06-09,2025-06-23,530.15,531.64,100,Long,10,149.0,147.0,0.002773,Timed out,30,0.05,0.04,10,2024-04-19,2025-04-22,2025-04-23,2025-07-23
2025-06-25,2025-07-09,542.07,556.24,100,Long,10,1417.0,1415.0,0.026104,Timed out,30,0.05,0.04,10,2024-04-19,2025-04-22,2025-04-23,2025-07-23
2025-09-10,2025-09-23,583.75,598.19,100,Long,10,1444.0,1442.0,0.024702,Timed out,30,0.05,0.04,10,2024-07-22,2025-07-23,2025-07-24,2025-10-21
2025-10-02,2025-10-15,607.07,602.21,100,Long,10,-486.0,-488.0,-0.008039,Timed out,30,0.05,0.04,10,2024-07-22,2025-07-23,2025-07-24,2025-10-21
2025-12-01,2025-12-19,613.62,617.04,100,Long,15,342.0,340.0,0.005541,Timed out,10,0.05,0.04,15,2024-10-18,2025-10-21,2025-10-22,2026-01-22
